,index,method,acc,fairness,task
0,5,PlugIn,0.8579013922731817,0.4107057247967824,NNcensus
1,6,SCross,0.8804740062721541,0.5036550153801317,NNcensus
2,7,AUC,0.8652155294947776,0.6240728120559068,NNcensus
3,8,DPWA,0.7890105887766151,0.01648796208620865,NNcensus
4,9,IFAC,0.7770045508977649,0.020979450116994,NNcensus
5,5,PlugIn,0.8527466284635958,0.4197855049022047,XGBcensus
6,6,SCross,0.878769260855566,0.4929568821200936,XGBcensus
7,7,AUC,0.8599314929229187,0.6090743359156301,XGBcensus
8,8,DPWA,0.7908298495516111,0.01608284755649055,XGBcensus
9,9,IFAC,0.7734162641747061,0.02104502912307567,XGBcensus
10,5,PlugIn,0.8476665706818999,0.4332581050654388,RFcensus
11,6,SCross,0.8736226234556265,0.4987651032000889,RFcensus
12,7,AUC,0.8590521855229076,0.614034937566248,RFcensus
13,8,DPWA,0.7898935479934917,0.01207143388406593,RFcensus
14,9,IFAC,0.7726342385915944,0.01332241366198067,RFcensus
15,5,PlugIn,0.8326884924996495,0.4908254908326392,NNincome
16,6,SCross,0.8471907184480043,0.390399270884367,NNincome
17,7,AUC,0.8102787888041686,0.5082274309660628,NNincome
18,8,DPWA,0.8095451904804193,0.09226687440184171,NNincome
19,9,IFAC,0.7818690859412006,0.06679673941518882,NNincome
20,5,PlugIn,0.8515896929372408,0.41301239761624,XGBincome
21,6,SCross,0.8464987452653479,0.4152834591077541,XGBincome
22,7,AUC,0.8155998815827992,0.4894687096515164,XGBincome
23,8,DPWA,0.8075437194560356,0.1027894225933134,XGBincome
24,9,IFAC,0.7733622990462996,0.06442721342699147,XGBincome
25,5,PlugIn,0.8257718558111815,0.3848889848698274,RFincome
26,6,SCross,0.8253831610820903,0.3913200899346638,RFincome
27,7,AUC,0.7921088959396105,0.4516815090574571,RFincome
28,8,DPWA,0.7864634798234824,0.1099673703537712,RFincome
29,9,IFAC,0.7557428701479972,0.083165125110029,RFincome
30,5,PlugIn,0.8302234058666913,0.07769633900397202,NNmortgage
31,6,SCross,0.8366515351512545,0.0,NNmortgage
32,7,AUC,0.7963674659525487,0.1028831772639454,NNmortgage
33,8,DPWA,0.8308596274458135,0.0,NNmortgage
34,9,IFAC,0.8094042157797112,0.0132891293107069,NNmortgage
35,5,PlugIn,0.8248006378776477,0.05160913596593079,XGBmortgage
36,6,SCross,0.8397402548742324,0.03140302792657924,XGBmortgage
37,7,AUC,0.7861353915087952,0.1122277446490913,XGBmortgage
38,8,DPWA,0.8278234831731309,0.004739252490497122,XGBmortgage
39,9,IFAC,0.8028543460350909,0.01642582533107676,XGBmortgage
40,5,PlugIn,0.8192975189280837,0.09376708537286073,RFmortgage
41,6,SCross,0.8220831830513738,0.05052251516854138,RFmortgage
42,7,AUC,0.7579141171425744,0.1309974599229774,RFmortgage
43,8,DPWA,0.8110397559022111,0.00688160378087639,RFmortgage
44,9,IFAC,0.7753414964401812,0.02021962763966119,RFmortgage
45,5,PlugIn,0.7228461139936451,0.1496126171178003,NNoulad
46,6,SCross,0.7176788291781612,0.1112740858148422,NNoulad
47,7,AUC,0.6971121879771067,0.1013746569786697,NNoulad
48,8,DPWA,0.722718429172833,0.01154868172695006,NNoulad
49,9,IFAC,0.6995517112145034,0.01751310732179131,NNoulad
50,5,PlugIn,0.7148101548600685,0.1511477508047797,XGBoulad
51,6,SCross,0.7120657902417766,0.1824393484991373,XGBoulad
52,7,AUC,0.6828460052920966,0.1454262064167408,XGBoulad
53,8,DPWA,0.7151005180283867,0.01001882410655499,XGBoulad
54,9,IFAC,0.6848976224437446,0.02876796950891938,XGBoulad
55,5,PlugIn,0.7022916466202556,0.1537820535406292,RFoulad
56,6,SCross,0.6995065841794892,0.1479066751394302,RFoulad
57,7,AUC,0.6696127351937802,0.192605982486193,RFoulad
58,8,DPWA,0.7033439697739452,0.008990709492800503,RFoulad
59,9,IFAC,0.6762829257877294,0.02369109064583626,RFoulad
60,5,PlugIn,0.6490708586585724,0.2440268960732258,NNrecidivism
61,6,SCross,0.647013627614683,0.2288389871549446,NNrecidivism
62,7,AUC,0.6520691305339545,0.231119139962268,NNrecidivism
63,8,DPWA,0.6534206595524171,0.05407644582627789,NNrecidivism
64,9,IFAC,0.6483428396174971,0.04997138159812393,NNrecidivism
65,5,PlugIn,0.6522686091189323,0.231975447610972,XGBrecidivism
66,6,SCross,0.6466290840402794,0.1737709431586845,XGBrecidivism
67,7,AUC,0.6450384068094681,0.2191818957296726,XGBrecidivism
68,8,DPWA,0.6487038217494321,0.04774593031561709,XGBrecidivism
69,9,IFAC,0.6264566651001147,0.06246655938961339,XGBrecidivism
70,5,PlugIn,0.6359226924563197,0.1949255023172212,RFrecidivism
71,6,SCross,0.6345969844344292,0.1761026775877197,RFrecidivism
72,7,AUC,0.6350527444216741,0.2084146845365923,RFrecidivism
73,8,DPWA,0.6401134489645723,0.04710867426896776,RFrecidivism
74,9,IFAC,0.6294226540503034,0.05131199343644,RFrecidivism
