,gender,disability,age_band,SES,highest_education,studied_credits,code_module,final_result
0,M,N,55<=,high,HE Qualification,More than 65,AAA,Pass
1,F,N,35-55,low,HE Qualification,60-65,AAA,Pass
3,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
4,F,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
5,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
6,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
7,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
8,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
10,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
11,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
12,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
13,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
14,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
16,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
18,M,N,35-55,low,A Level or Equivalent,More than 65,AAA,Fail
19,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
20,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
21,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
23,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
24,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
25,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
26,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
27,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
30,M,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
31,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
32,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
33,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
35,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
36,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
37,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
38,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
39,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
40,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
42,F,N,35-55,high,Lower Than A Level,More than 65,AAA,Pass
43,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
46,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
47,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
49,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
50,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
51,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
52,F,Y,0-35,low,A Level or Equivalent,60-65,AAA,Fail
53,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Fail
56,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
57,M,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
58,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
60,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
