,Credit Amount,Duration of Credit (month),Age (years),Account Balance,Occupation,Length of current employment,Payment Status of Previous Credit,Sex,Creditability
0,1000-2999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,Delays,Female,Credible
1,1000-2999,Less than a year,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
2,Less than 1000,1-2 years,Younger than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
3,1000-2999,1-2 years,Older than 30,No Account,Unskilled,1-3 years,Delays,Male,Credible
4,1000-2999,1-2 years,Older than 30,No Account,Unskilled,1-3 years,Delays,Male,Credible
5,1000-2999,Less than a year,Older than 30,No Account,Unskilled,Less than a year,Delays,Male,Credible
6,3000-6999,Less than a year,Older than 30,No Account,Unskilled,More than 4 years,Delays,Male,Credible
7,1000-2999,Less than a year,Older than 30,No Account,Unskilled,Less than a year,Delays,Male,Credible
8,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,Unemployed,Delays,Female,Credible
9,3000-6999,2-3 years,Younger than 30,None,Unskilled,Unemployed,NA/Not Delayed,Female,Credible
10,3000-6999,Less than a year,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
11,3000-6999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
12,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Female,Credible
13,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,Unemployed,Delays,Male,Credible
14,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Credible
15,1000-2999,Less than a year,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Credible
16,3000-6999,Less than a year,Older than 30,No Account,Unskilled,1-3 years,Delays,Male,Credible
17,3000-6999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Credible
18,1000-2999,More than 3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
19,More than 7000,Less than a year,Older than 30,200DM or above,Unskilled,1-3 years,Delays,Male,Credible
20,3000-6999,Less than a year,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Credible
21,3000-6999,1-2 years,Older than 30,None,Unskilled,Less than a year,Delays,Male,Credible
22,1000-2999,More than 3 years,Older than 30,None,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
23,1000-2999,1-2 years,Younger than 30,None,Skilled,More than 4 years,Delays,Male,Credible
24,3000-6999,Less than a year,Older than 30,No Account,Unskilled,Less than a year,Delays,Male,Credible
25,3000-6999,Less than a year,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
26,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
27,1000-2999,Less than a year,Older than 30,None,Unskilled,More than 4 years,Delays,Male,Credible
28,3000-6999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
29,3000-6999,More than 3 years,Older than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
30,3000-6999,2-3 years,Older than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Credible
31,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
32,3000-6999,More than 3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Credible
33,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Female,Credible
34,1000-2999,1-2 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Credible
35,Less than 1000,Less than a year,Older than 30,No Account,Skilled,More than 4 years,Delays,Female,Credible
36,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Male,Credible
37,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Credible
38,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Credible
39,3000-6999,2-3 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Female,Credible
40,Less than 1000,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Credible
41,1000-2999,2-3 years,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Female,Credible
42,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Credible
43,1000-2999,2-3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Credible
44,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Credible
45,1000-2999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
46,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,More than 4 years,NA/Not Delayed,Male,Credible
47,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Female,Not Credible
48,1000-2999,2-3 years,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Male,Credible
49,1000-2999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,Delays,Male,Credible
50,Less than 1000,1-2 years,Older than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Credible
51,3000-6999,More than 3 years,Younger than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Credible
