studytime,freetime,Walc,goout,Parents_edu,absences,reason,G3,sex,Predicted Pass,GroundTruth
2-5 hours,average,very high,three times or more,high school,0-1,course,Fail,M,pass,fail
less than 2 hours,average,high,once a week,middle school,0-1,course,Fail,M,fail,fail
less than 2 hours,average,high,twice a week,high school,0-1,course,Fail,M,fail,fail
more than 5 hours,high,high,three times or more,university,0-1,course,Fail,M,pass,fail
2-5 hours,average,very high,three times or more,no education,0-1,course,Fail,M,fail,fail
2-5 hours,average,very high,three times or more,no education,0-1,course,Fail,M,pass,fail
less than 2 hours,high,very high,three times or more,high school,0-1,course,Fail,M,fail,fail
2-5 hours,high,low,three times or more,high school,0-1,course,Fail,M,pass,fail
2-5 hours,high,very high,three times or more,high school,0-1,course,Fail,M,fail,fail
less than 2 hours,high,very high,three times or more,no education,0-1,course,Fail,M,fail,fail
less than 2 hours,high,moderate,three times or more,middle school,0-1,course,Fail,M,fail,fail
less than 2 hours,average,very high,once a week,middle school,0-1,other,Pass,M,pass,pass
less than 2 hours,average,moderate,twice a week,middle school,0-1,reputation,Pass,M,pass,pass
more than 5 hours,high,very high,three times or more,high school,0-1,course,Pass,M,pass,pass
2-5 hours,high,high,three times or more,no education,0-1,course,Pass,M,pass,pass
2-5 hours,high,very high,three times or more,middle school,0-1,reputation,Pass,M,fail,pass
2-5 hours,high,very high,once a week,university,0-1,home,Pass,M,pass,pass
more than 5 hours,high,low,twice a week,university,0-1,home,Pass,M,pass,pass
2-5 hours,average,low,once a week,high school,0-1,course,Pass,M,pass,pass
less than 2 hours,low,high,twice a week,high school,0-1,home,Pass,M,fail,pass
2-5 hours,low,very high,three times or more,university,0-1,reputation,Pass,M,fail,pass
more than 5 hours,high,low,once a week,middle school,0-1,home,Pass,M,pass,pass
more than 5 hours,average,high,twice a week,high school,0-1,reputation,Pass,M,fail,pass
less than 2 hours,high,very high,three times or more,middle school,0-1,course,Pass,M,pass,pass
less than 2 hours,average,moderate,three times or more,high school,0-1,home,Pass,M,fail,pass
2-5 hours,average,moderate,twice a week,no education,0-1,reputation,Pass,M,pass,pass
less than 2 hours,high,low,once a week,high school,0-1,home,Pass,M,pass,pass
less than 2 hours,low,very high,three times or more,university,0-1,other,Pass,M,pass,pass
2-5 hours,high,low,three times or more,university,0-1,course,Pass,M,pass,pass
more than 5 hours,high,low,twice a week,university,0-1,other,Pass,M,pass,pass
less than 2 hours,average,very high,three times or more,high school,0-1,reputation,Pass,M,fail,pass
2-5 hours,high,very high,once a week,university,0-1,home,Pass,M,pass,pass
more than 5 hours,average,moderate,twice a week,university,0-1,course,Pass,M,pass,pass
2-5 hours,high,low,once a week,university,0-1,course,Pass,M,pass,pass
less than 2 hours,average,very high,once a week,middle school,0-1,other,Pass,M,fail,pass
less than 2 hours,average,moderate,twice a week,middle school,0-1,other,Pass,M,pass,pass
less than 2 hours,high,very high,three times or more,middle school,0-1,course,Pass,M,pass,pass
more than 5 hours,average,low,twice a week,university,0-1,course,Pass,M,pass,pass
